company,weiboId,Id
中国石化,sinopec,3429300952
中国石油,cnpconline,5655420911
中国建筑,u/6147164852,6147164852
中国平安,pingan,1650507560
上汽集团,saicmotor,2690303253
中国移动,cmccguanfang,2001627641
中国工商银行客服,icbcebanking,5132862451
中国中铁,CRECG,5667381614
中国铁建,u/5669279258,5669279258
中国人寿,chinalifegroup,2834889173
中国建设银行,elutong,1803278047
中国农业银行,goldenonline,1775158187
中国人民保险,piccweibo,1984213677
中国银行,bocebanking,2242603603
中国交通建设,jtjsb,3912086680
中信银行,citicbank,2179623947
中国电信客服,ct10000,1975415803
京东,jingdong,1717871843
腾讯,tencent,1846456085
百度,baiduguanfang,2525235360
哔哩哔哩,bilibiliweb,1748075785
中国太平洋保险,cpic,1730276312
联想控股,lenovo,2183473425
海航科技,hnal56,5248286903
绿地集团,u/2695967933,2695967933
中国联通,chinaunicom,2002148123
重庆万科,wkyycq,1858734882
美的互动官微,mideard,1945133444
阿里巴巴集团,aligroup,1897953162
碧桂园集团xfbgy,,2129961004
邮储银行电子银行,u/3887966172,3887966172
招商银行,cmbchina,1653150224
厦门建发,xmjfgf,2100208050
中国中车,u/5618105325,5618105325
江西铜业,Jiangxicopper,3299362794
交行信用卡中心,cardbankcomm,2052879865
苏宁易购,suningyigou,1858343970
中海油,cnoocnews,2300141683
中国太平,taiping,3199021652
上海浦发行,spdbank,2012572483
广汇汽车服务有限公司,chinagrandauto,2154529147
海尔股份,haierexpo,1728875812
潍柴动力,weichaiferrari,3238244513
珠海格力电器,gree1991,1831945750
华润医药999皮炎平家族,sanjiupyp,1938390300
保利地产,baolifangdichan,1770996052
民生银行手机银行,cmbcubao,2384005224
新华保险,95567nci,3366988054
上海建工,scgwb,2014035852
兴业银行,cib601166,1940411570
北京汽车,baicmotor,1805367362
上海医药,sphblog,5057653465
中国南方航空,317130888,1647687670
东风汽车股份,dongfeng1969,5229898329
中国国际航空,airchina,1686727842
中国信达,chinacinda,2970692285
tcl,tclmobile,2160453571
中国航油,cnaf,2670112415
中兴通讯,ztecorporation,1902909102
比亚迪,u/2729215972,1746221281
东方航空,ceair,1647310954
长城汽车,gwmtengyi,1840067451
紫金矿业,ZijinMiningGroup,3551946770
吉利汽车,dhcar,1691328753
中国光大银行,cebbank,1698631892
中远海运,cosconeb,3031133715
昆仑能源,kunlun00135,6444671137
复星集团,fosungroup,2153621264
中升集团,u/3227640077,3227640077
百度,baiduguanfang,2525235360
鞍钢集团,ansteel,2625024707
长安汽车,changanauto,1740936973
长虹电器,changhonggroup,1872570870
华菱钢铁,valingroup,3214773957
中国国际海运集装箱,cimctoday,3354294234
招商蛇口,cmpdchina,2958953642
九州通医药,jztey,1964004020
上海钢联电子商务,mysteels,1683470855
唯品会,vipshop2010,1589698103
龙湖地产,u/3309967974,3915933149
广汽集团,gacgroup,1647951825
国美,gome1987,1914452112
顺丰速运,sfsuyun,2105779990
庞大汽贸,u/2705488937,2727339415
怡亚通,eascsweibo,2145765272
伊利实业,u/5236823068,5236823068
华夏银行信用卡,hxbcreditcard,2355263075
融创中国,SunacChina,5199701704
大唐国际,datangpower,6159424727
新希望六和,nhoverseas,2540286952
神州数码,u/5886052092,1804123992
贵州茅台酒业,GJMTGW,3218209683
蒙牛乳业,mengniu1999,1653196740
海南航空,hnair,1164667670
华夏幸福,u/3940180203,3940180203
五矿集团,minmetals,5120239186
永辉超市,iyonghui,1927391347
云天化,u/6096992630,6096992630
网易云音乐,163music,1721030997
天音通信,telling000829,1813350490
江淮汽车,jacauto,1971266091
海康威视,hikvisionsecu,2218792142
三一重工,sany313131,2027228514
创维,1988skyworth,2033158844
五粮液,u/5107945152,5107945152
江铃汽车,u/6597952304,6597952304
康佳集团,konka,1740293690
佳兆业,u/2542442794,2542442794
海澜之家,ihla,2367031834
沃尔玛中国,walmarthyper,2951187043
国家电网,sgcc,1730306175
壳牌中国,shellinchina,3169191205
丰田中国,chinatoyota,2286294114
大众中国,volkswagen,1798750043
三星电子,samsungelectronics,2533448835
亚马逊,amazonchina,1732523361
豆瓣,douban,1640663757
知乎,zhihu,1904769205
道达尔中国,totalinchina,2546007131
可口可乐,icokeclub,1795839430
百事中国,pepsico,1770691990
宝马中国,bmwchina,1698264705
家乐福,crfchina,2026014915
雀巢,nescafechina,2240206400
微软中国,msftchina,2381785464
因特尔中国intel,intel,2637370927
IBM中国,ibm100,1937649537
西门子,siemens,1666068804
农夫山泉,nongfuspring,1778777264
苹果中国,,1762431113
华为中国,,2557129567
小米公司,,1771925961
奔驰,,1666454854
麦当劳,,1947211342
肯德基,,1687422352
星巴克,,1741514817
奇虎公司,,1998321847
扇贝,,2139359753
国家开发银行,,5294647313
卫龙食品,,5171482644
德勤中国,,1921792607
毕马威中国,,1904964963
银河证券,,1982652331
戴尔中国,,1687053504
惠普公司,,1847000261
科大讯飞,,2133102750
谷歌,,2617744132
万达集团,,3281037352
埃森哲,,2822118855
